t,x,x_dot
0,0,0
0.01,4.16666666666667e-05,0.00833333333333333
0.02,0.000166666666666667,0.0166666666666667
0.03,0.000375,0.025
0.04,0.000666666666666667,0.0333333333333333
0.05,0.00104166666666667,0.0416666666666667
0.06,0.0015,0.05
0.07,0.00204166666666667,0.0583333333333333
0.08,0.00266666666666667,0.0666666666666667
0.09,0.003375,0.075
0.1,0.00416666666666667,0.0833333333333333
0.11,0.00504166666666667,0.0916666666666667
0.12,0.006,0.1
0.13,0.00704166666666667,0.108333333333333
0.14,0.00816666666666667,0.116666666666667
0.15,0.009375,0.125
0.16,0.0106666666666667,0.133333333333333
0.17,0.0120416666666667,0.141666666666667
0.18,0.0135,0.15
0.19,0.0150416666666667,0.158333333333333
0.2,0.0166666666666667,0.166666666666667
0.21,0.018375,0.175
0.22,0.0201666666666667,0.183333333333333
0.23,0.0220416666666667,0.191666666666667
0.24,0.024,0.2
0.25,0.0260416666666667,0.208333333333333
0.26,0.0281666666666667,0.216666666666667
0.27,0.030375,0.225
0.28,0.0326666666666667,0.233333333333333
0.29,0.0350416666666667,0.241666666666667
0.3,0.0375,0.25
0.31,0.0400416666666667,0.258333333333333
0.32,0.0426666666666667,0.266666666666667
0.33,0.045375,0.275
0.34,0.0481666666666667,0.283333333333333
0.35,0.0510416666666667,0.291666666666667
0.36,0.054,0.3
0.37,0.0570416666666667,0.308333333333333
0.38,0.0601666666666667,0.316666666666667
0.39,0.063375,0.325
0.4,0.0666666666666667,0.333333333333333
0.41,0.0700416666666667,0.341666666666667
0.42,0.0735,0.35
0.43,0.0770416666666666,0.358333333333333
0.44,0.0806666666666667,0.366666666666667
0.45,0.084375,0.375
0.46,0.0881666666666667,0.383333333333333
0.47,0.0920416666666667,0.391666666666667
0.48,0.096,0.4
0.49,0.100041666666667,0.408333333333333
0.5,0.104166666666667,0.416666666666667
0.51,0.108375,0.425
0.52,0.112666666666667,0.433333333333333
0.53,0.117041666666667,0.441666666666667
0.54,0.1215,0.45
0.55,0.126041666666667,0.458333333333333
0.56,0.130666666666667,0.466666666666667
0.57,0.135375,0.475
0.58,0.140166666666667,0.483333333333333
0.59,0.145041666666667,0.491666666666667
0.6,0.15,0.5
0.61,0.155041666666667,0.508333333333333
0.62,0.160166666666667,0.516666666666667
0.63,0.165375,0.525
0.64,0.170666666666667,0.533333333333333
0.65,0.176041666666667,0.541666666666667
0.66,0.1815,0.55
0.67,0.187041666666667,0.558333333333333
0.68,0.192666666666667,0.566666666666667
0.69,0.198375,0.575
0.7,0.204166666666667,0.583333333333333
0.71,0.210041666666667,0.591666666666667
0.72,0.216,0.6
0.73,0.222041666666667,0.608333333333333
0.74,0.228166666666667,0.616666666666667
0.75,0.234375,0.625
0.76,0.240666666666667,0.633333333333333
0.77,0.247041666666667,0.641666666666667
0.78,0.2535,0.65
0.79,0.260041666666667,0.658333333333333
0.8,0.266666666666667,0.666666666666667
0.81,0.273375,0.675
0.82,0.280166666666667,0.683333333333333
0.83,0.287041666666667,0.691666666666667
0.84,0.294,0.7
0.85,0.301041666666667,0.708333333333333
0.86,0.308166666666667,0.716666666666667
0.87,0.315375,0.725
0.88,0.322666666666667,0.733333333333333
0.89,0.330041666666667,0.741666666666667
0.9,0.3375,0.75
0.91,0.345041666666667,0.758333333333333
0.92,0.352666666666667,0.766666666666667
0.93,0.360375,0.775
0.94,0.368166666666667,0.783333333333333
0.95,0.376041666666667,0.791666666666667
0.96,0.384,0.8
0.97,0.392041666666667,0.808333333333333
0.98,0.400166666666667,0.816666666666667
0.99,0.408375,0.825
1,0.416666666666667,0.833333333333333
1.01,0.425041666666667,0.841666666666667
1.02,0.4335,0.85
1.03,0.442041666666667,0.858333333333333
1.04,0.450666666666667,0.866666666666667
1.05,0.459375,0.875
1.06,0.468166666666667,0.883333333333333
1.07,0.477041666666667,0.891666666666667
1.08,0.486,0.9
1.09,0.495041666666667,0.908333333333333
1.1,0.504166666666667,0.916666666666667
1.11,0.513375,0.925
1.12,0.522666666666667,0.933333333333333
1.13,0.532041666666667,0.941666666666667
1.14,0.5415,0.95
1.15,0.551041666666667,0.958333333333333
1.16,0.560666666666667,0.966666666666667
1.17,0.570375,0.975
1.18,0.580166666666667,0.983333333333333
1.19,0.590041666666667,0.991666666666667
1.2,0.6,1
1.21,0.610041666666667,1.00833333333333
1.22,0.620166666666667,1.01666666666667
1.23,0.630375,1.025
1.24,0.640666666666667,1.03333333333333
1.25,0.651041666666667,1.04166666666667
1.26,0.6615,1.05
1.27,0.672041666666667,1.05833333333333
1.28,0.682666666666667,1.06666666666667
1.29,0.693375,1.075
1.3,0.704166666666667,1.08333333333333
1.31,0.715041666666667,1.09166666666667
1.32,0.726,1.1
1.33,0.737041666666667,1.10833333333333
1.34,0.748166666666667,1.11666666666667
1.35,0.759375,1.125
1.36,0.770666666666667,1.13333333333333
